symbol,date,domain
SH600011,20260105,cap_ge_500yi/nonstar_lt_10
SH600011,20260106,cap_ge_500yi/nonstar_lt_10
SH600011,20260107,cap_ge_500yi/nonstar_lt_10
SH600011,20260108,cap_ge_500yi/nonstar_lt_10
SH600011,20260109,cap_ge_500yi/nonstar_lt_10
SH600011,20260112,cap_ge_500yi/nonstar_lt_10
SH600011,20260113,cap_ge_500yi/nonstar_lt_10
SH600011,20260114,cap_ge_500yi/nonstar_lt_10
SH600011,20260115,cap_ge_500yi/nonstar_lt_10
SH600011,20260116,cap_ge_500yi/nonstar_lt_10
SH600011,20260119,cap_ge_500yi/nonstar_lt_10
SH600011,20260120,cap_ge_500yi/nonstar_lt_10
SH600011,20260121,cap_ge_500yi/nonstar_lt_10
SH600011,20260122,cap_ge_500yi/nonstar_lt_10
SH600011,20260123,cap_ge_500yi/nonstar_lt_10
SH600011,20260126,cap_ge_500yi/nonstar_lt_10
SH600011,20260127,cap_ge_500yi/nonstar_lt_10
SH600011,20260128,cap_ge_500yi/nonstar_lt_10
SH600011,20260129,cap_ge_500yi/nonstar_lt_10
SH600011,20260130,cap_ge_500yi/nonstar_lt_10
SH600021,20260105,cap_ge_500yi/nonstar_ge_10
SH600021,20260106,cap_ge_500yi/nonstar_ge_10
SH600021,20260107,cap_ge_500yi/nonstar_ge_10
SH600021,20260108,cap_ge_500yi/nonstar_ge_10
SH600021,20260109,cap_ge_500yi/nonstar_ge_10
SH600021,20260112,cap_ge_500yi/nonstar_ge_10
SH600021,20260113,cap_ge_500yi/nonstar_ge_10
SH600021,20260114,cap_ge_500yi/nonstar_ge_10
SH600021,20260115,cap_ge_500yi/nonstar_ge_10
SH600021,20260116,cap_ge_500yi/nonstar_ge_10
SH600021,20260119,cap_ge_500yi/nonstar_ge_10
SH600021,20260120,cap_ge_500yi/nonstar_ge_10
SH600021,20260121,cap_ge_500yi/nonstar_ge_10
SH600021,20260122,cap_ge_500yi/nonstar_ge_10
SH600021,20260123,cap_ge_500yi/nonstar_ge_10
SH600021,20260126,cap_ge_500yi/nonstar_ge_10
SH600021,20260127,cap_ge_500yi/nonstar_ge_10
SH600021,20260128,cap_ge_500yi/nonstar_ge_10
SH600021,20260129,cap_ge_500yi/nonstar_ge_10
SH600021,20260130,cap_ge_500yi/nonstar_ge_10
SH600023,20260105,cap_ge_500yi/nonstar_lt_10
SH600023,20260106,cap_ge_500yi/nonstar_lt_10
SH600023,20260107,cap_ge_500yi/nonstar_lt_10
SH600023,20260108,cap_ge_500yi/nonstar_lt_10
SH600023,20260109,cap_ge_500yi/nonstar_lt_10
SH600023,20260112,cap_ge_500yi/nonstar_lt_10
SH600023,20260113,cap_ge_500yi/nonstar_lt_10
SH600023,20260114,cap_ge_500yi/nonstar_lt_10
SH600023,20260115,cap_ge_500yi/nonstar_lt_10
SH600023,20260116,cap_ge_500yi/nonstar_lt_10
SH600023,20260119,cap_ge_500yi/nonstar_lt_10
SH600023,20260120,cap_ge_500yi/nonstar_lt_10
SH600023,20260121,cap_ge_500yi/nonstar_lt_10
SH600023,20260122,cap_ge_500yi/nonstar_lt_10
SH600023,20260123,cap_ge_500yi/nonstar_lt_10
SH600023,20260126,cap_ge_500yi/nonstar_lt_10
SH600023,20260127,cap_ge_500yi/nonstar_lt_10
SH600023,20260128,cap_ge_500yi/nonstar_lt_10
SH600023,20260129,cap_ge_500yi/nonstar_lt_10
SH600023,20260130,cap_ge_500yi/nonstar_lt_10
SH600026,20260105,cap_ge_500yi/nonstar_ge_10
SH600026,20260106,cap_ge_500yi/nonstar_ge_10
SH600026,20260107,cap_ge_500yi/nonstar_ge_10
SH600026,20260108,cap_ge_500yi/nonstar_ge_10
SH600026,20260109,cap_ge_500yi/nonstar_ge_10
SH600026,20260112,cap_ge_500yi/nonstar_ge_10
SH600026,20260113,cap_ge_500yi/nonstar_ge_10
SH600026,20260114,cap_ge_500yi/nonstar_ge_10
SH600026,20260115,cap_ge_500yi/nonstar_ge_10
SH600026,20260116,cap_ge_500yi/nonstar_ge_10
SH600026,20260119,cap_ge_500yi/nonstar_ge_10
SH600026,20260120,cap_ge_500yi/nonstar_ge_10
SH600026,20260121,cap_ge_500yi/nonstar_ge_10
SH600026,20260122,cap_ge_500yi/nonstar_ge_10
SH600026,20260123,cap_ge_500yi/nonstar_ge_10
SH600026,20260126,cap_ge_500yi/nonstar_ge_10
SH600026,20260127,cap_ge_500yi/nonstar_ge_10
SH600026,20260128,cap_ge_500yi/nonstar_ge_10
SH600026,20260129,cap_ge_500yi/nonstar_ge_10
SH600026,20260130,cap_ge_500yi/nonstar_ge_10
SH600027,20260105,cap_ge_500yi/nonstar_lt_10
SH600027,20260106,cap_ge_500yi/nonstar_lt_10
SH600027,20260107,cap_ge_500yi/nonstar_lt_10
SH600027,20260108,cap_ge_500yi/nonstar_lt_10
SH600027,20260109,cap_ge_500yi/nonstar_lt_10
SH600027,20260112,cap_ge_500yi/nonstar_lt_10
SH600027,20260113,cap_ge_500yi/nonstar_lt_10
SH600027,20260114,cap_ge_500yi/nonstar_lt_10
SH600027,20260115,cap_ge_500yi/nonstar_lt_10
SH600027,20260116,cap_ge_500yi/nonstar_lt_10
SH600027,20260119,cap_ge_500yi/nonstar_lt_10
SH600027,20260120,cap_ge_500yi/nonstar_lt_10
SH600027,20260121,cap_ge_500yi/nonstar_lt_10
SH600027,20260122,cap_ge_500yi/nonstar_lt_10
SH600027,20260123,cap_ge_500yi/nonstar_lt_10
SH600027,20260126,cap_ge_500yi/nonstar_lt_10
SH600027,20260127,cap_ge_500yi/nonstar_lt_10
SH600027,20260128,cap_ge_500yi/nonstar_lt_10
SH600027,20260129,cap_ge_500yi/nonstar_lt_10
SH600027,20260130,cap_ge_500yi/nonstar_lt_10
SH600039,20260105,cap_ge_500yi/nonstar_lt_10
SH600039,20260106,cap_ge_500yi/nonstar_lt_10
SH600039,20260107,cap_ge_500yi/nonstar_ge_10
SH600039,20260108,cap_ge_500yi/nonstar_lt_10
SH600039,20260109,cap_ge_500yi/nonstar_ge_10
SH600039,20260112,cap_ge_500yi/nonstar_ge_10
SH600039,20260113,cap_ge_500yi/nonstar_ge_10
SH600039,20260114,cap_ge_500yi/nonstar_ge_10
