symbol,date,active_take_mid_gap,active_take_mid_gap_signed,active_take_events,active_take_qty,all_mid_gap,mid_moves,ambiguous_mid_moves,transitions,rows,active_mid_move_share
SH688184,20250102,2.91,-0.42,211,209041,5.88,487,276,2160,2305,0.49489795918367346
SH688184,20250103,3.165,0.025,208,105503,6.455,467,259,1811,1983,0.4903175832687839
SH688184,20250106,2.785,0.185,224,93935,5.59,503,279,2104,2261,0.49821109123434704
SH688184,20250107,2.78,-0.58,191,123004,5.63,439,248,1989,2128,0.4937833037300178
SH688184,20250108,2.88,0.24,265,150311,5.825,630,365,2440,2579,0.4944206008583691
SH688184,20250109,2.95,-0.03,200,80112,5.99,487,287,1485,1605,0.49248747913188645
SH688184,20250110,2.875,0.225,200,107089,5.835,470,270,1681,1814,0.49271636675235647
SH688184,20250113,4.185,0.045,299,124826,8.42,684,385,1975,2076,0.4970308788598575
SH688184,20250114,3.96,-0.15,462,246977,7.925,996,534,2991,3103,0.49968454258675077
SH688184,20250115,4.68,-0.24,358,223372,9.35,803,445,2748,2928,0.5005347593582887
SH688184,20250116,2.83,-1.17,206,148185,5.71,451,245,2462,2619,0.4956217162872154
SH688184,20250117,3.555,-0.275,283,142905,7.19,644,361,1992,2161,0.4944367176634214
SH688184,20250120,3.625,0.495,305,136452,7.345,717,412,2677,2813,0.49353301565690944
SH688184,20250121,1.88,0.06,167,119397,3.77,397,230,1558,1727,0.4986737400530504
SH688184,20250122,2.52,0.35,254,168846,5.07,584,330,1970,2091,0.4970414201183432
SH688184,20250123,4.375,-0.675,457,322687,8.765,1007,550,4161,4347,0.49914432401597264
SH688184,20250124,2.37,-0.56,244,150131,4.805,533,289,2167,2373,0.49323621227887615
SH688184,20250127,5.705,-0.035,666,503572,11.41,1438,772,6088,6343,0.5
