symbol,date,active_take_mid_gap_ratio,active_take_mid_gap,all_mid_gap,active_take_mid_events,all_mid_move_events,trade_mid_move_events,cancel_mid_move_events,order_add_mid_move_events,continuous_events,valid_lag_events
SH600000,20260105,0.4935123042505593,11.03,22.35,2078,4155,2078,24,2053,217429,217427
SH600000,20260106,0.4964778810932657,8.81,17.745,1680,3344,1680,13,1651,155464,155462
SH600000,20260107,0.49372384937238495,5.31,10.755,1048,2120,1048,12,1060,116382,116380
SH600000,20260108,0.49257425742574257,1.99,4.04,397,806,397,6,403,145958,145956
SH600000,20260109,0.4987389659520807,3.955,7.93,783,1561,783,2,776,95099,95097
SH600000,20260112,0.49469964664310956,4.2,8.49,838,1692,838,9,845,102379,102377
SH600000,20260113,0.4936708860759494,4.29,8.69,846,1704,846,11,847,97841,97839
SH600000,20260114,0.4968126670779354,12.08,24.315,2397,4800,2397,14,2389,159253,159251
SH600000,20260115,0.4969742813918306,6.57,13.22,1312,2637,1312,8,1317,113644,113642
SH600000,20260116,0.4961984069514844,13.705,27.62,2724,5481,2724,21,2736,182548,182546
SH600000,20260119,0.488839697472791,13.25,27.105,2571,5237,2571,59,2607,110224,110222
SH600000,20260120,0.4947089947089947,7.48,15.12,1488,2999,1488,16,1495,131521,131519
SH600000,20260121,0.4948875255623722,7.26,14.67,1451,2931,1451,15,1465,159972,159970
SH600000,20260122,0.49614928909952605,16.75,33.76,3289,6605,3289,26,3290,196030,196028
SH600000,20260123,0.49679658302189,9.305,18.73,1852,3725,1852,12,1861,154735,154733
SH600000,20260126,0.4954450806871421,19.035,38.42,3752,7533,3752,35,3746,200034,200032
SH600000,20260127,0.49524940617577196,4.17,8.42,834,1681,834,8,839,155020,155018
SH600000,20260128,0.49686520376175547,11.095,22.33,2216,4457,2216,14,2227,201591,201589
SH600000,20260129,0.4988399071925754,9.675,19.395,1918,3817,1918,4,1895,228941,228939
SH600000,20260130,0.4970833333333333,5.965,12.0,1189,2382,1189,7,1186,158924,158922
SH600004,20260105,0.48947368421052634,1.86,3.8,371,757,371,8,378,51248,51246
SH600004,20260106,0.49349240780911063,2.275,4.61,450,910,450,6,454,42613,42611
SH600004,20260107,0.48427672955974843,1.54,3.18,308,636,308,10,318,42547,42545
SH600004,20260108,0.49498327759197325,1.48,2.99,296,598,296,3,299,37793,37791
SH600004,20260109,0.4921259842519685,1.25,2.54,250,505,250,4,251,37485,37483
SH600004,20260112,0.4935897435897436,1.54,3.12,308,624,308,4,312,40475,40473
SH600004,20260113,0.4897959183673469,0.96,1.96,192,392,192,4,196,49668,49666
SH600004,20260114,0.48812095032397407,1.13,2.315,224,457,224,5,228,60125,60123
SH600004,20260115,0.4754601226993865,0.775,1.63,155,326,155,8,163,31844,31842
SH600004,20260116,0.47865853658536583,0.785,1.64,157,328,157,7,164,39493,39491
SH600004,20260119,0.4921052631578947,0.935,1.9,187,379,187,3,189,38685,38683
SH600004,20260120,0.4937694704049844,1.585,3.21,316,640,316,4,320,84422,84420
SH600004,20260121,0.48282442748091603,2.53,5.24,502,1035,502,18,515,44130,44128
SH600004,20260122,0.4783132530120482,1.985,4.15,392,815,392,18,405,33770,33768
SH600004,20260123,0.48523622047244097,2.465,5.08,490,1007,490,15,502,49858,49856
SH600004,20260126,0.49089529590288317,3.235,6.59,642,1304,642,12,650,52435,52433
SH600004,20260127,0.48532494758909855,2.315,4.77,460,943,460,14,469,37685,37683
SH600004,20260128,0.49150943396226415,2.605,5.3,513,1038,513,9,516,52544,52542
SH600004,20260129,0.49174917491749176,2.98,6.06,593,1206,593,10,603,51439,51437
SH600004,20260130,0.4894067796610169,2.31,4.72,459,935,459,10,466,45785,45783
SH600006,20260105,0.4826388888888889,0.695,1.44,139,288,139,5,144,27890,27888
SH600006,20260106,0.4946524064171123,0.925,1.87,185,374,185,2,187,46694,46692
SH600006,20260107,0.466824644549763,0.985,2.11,197,421,197,14,210,34398,34396
SH600006,20260108,0.4921875,0.945,1.92,189,384,189,3,192,28142,28140
SH600006,20260109,0.4857142857142857,0.85,1.75,170,350,170,5,175,33244,33242
SH600006,20260112,0.4983974358974359,1.555,3.12,310,622,310,1,311,52165,52163
SH600006,20260113,0.49767441860465117,5.35,10.75,1048,2088,1048,5,1035,87518,87516
SH600006,20260114,0.49479843953185954,3.805,7.69,746,1498,746,8,744,69388,69386
SH600006,20260115,0.4909819639278557,2.45,4.99,485,982,485,9,488,38592,38590
SH600006,20260116,0.4885057471264368,1.7,3.48,336,684,336,8,340,41921,41919
SH600006,20260119,0.4823008849557522,1.09,2.26,217,450,217,8,225,30383,30381
SH600006,20260120,0.4810606060606061,1.27,2.64,254,528,254,10,264,29189,29187
SH600006,20260121,0.46904761904761905,0.985,2.1,197,420,197,13,210,29970,29968
SH600006,20260122,0.49157303370786515,0.875,1.78,175,356,175,3,178,29801,29799
