symbol,date,active_take_mid_gap_ratio,active_take_mid_gap,all_mid_gap,active_take_mid_events,all_mid_move_events,trade_mid_move_events,cancel_mid_move_events,order_add_mid_move_events,continuous_events,valid_lag_events
SH603838,20260105,0.4147651006711409,1.545,3.725,154,405,154,34,217,2312,2310
SH603838,20260106,0.36644591611479027,1.66,4.53,214,636,214,84,338,2964,2962
SH603838,20260107,0.36792452830188677,0.78,2.12,97,278,97,27,154,1968,1966
SH603838,20260108,0.3964757709251101,0.9,2.27,125,340,125,34,181,1766,1764
SH603838,20260109,0.43653250773993807,0.705,1.615,102,244,102,15,127,1906,1904
SH603838,20260112,0.4047058823529412,0.86,2.125,122,317,122,35,160,1640,1638
SH603838,20260113,0.38079470198675497,1.15,3.02,165,435,165,48,222,1931,1929
SH603838,20260114,0.38636363636363635,0.595,1.54,89,237,89,25,123,1686,1684
SH603838,20260115,0.39862542955326463,0.58,1.455,70,189,70,20,99,766,764
SH603838,20260116,0.3512658227848101,0.555,1.58,60,180,60,25,95,977,975
SH603838,20260119,0.35251798561151076,0.49,1.39,73,194,73,27,94,1204,1202
SH603838,20260120,0.4268774703557312,1.08,2.53,167,409,167,26,216,2766,2764
SH603838,20260121,0.39730639730639733,0.59,1.485,87,237,87,28,122,1558,1556
SH603838,20260122,0.39886039886039887,0.7,1.755,99,256,99,21,136,1814,1812
SH603838,20260123,0.3660130718954248,1.12,3.06,138,395,138,44,213,2129,2127
SH603838,20260126,0.41,2.255,5.5,308,772,308,72,392,4024,4022
SH603838,20260127,0.4045077105575326,1.705,4.215,216,536,216,54,266,2790,2788
SH603838,20260128,0.42547770700636944,1.67,3.925,162,409,162,38,209,2025,2023
SH603838,20260129,0.395,1.185,3.0,144,381,144,40,197,1853,1851
SH603838,20260130,0.3991507430997877,0.94,2.355,103,271,103,26,142,1474,1472
