symbol,date,active_take_mid_gap_ratio,active_take_mid_gap,all_mid_gap,active_take_mid_events,all_mid_move_events,trade_mid_move_events,cancel_mid_move_events,order_add_mid_move_events,continuous_events,valid_lag_events
SH600007,20260105,0.4768472906403941,7.26,15.225,1218,2544,1218,68,1258,21142,21140
SH600007,20260106,0.47819767441860467,4.935,10.32,852,1756,852,42,862,18440,18438
SH600007,20260107,0.4783216783216783,3.42,7.15,611,1269,611,31,627,16772,16770
SH600007,20260108,0.4533255542590432,3.885,8.57,622,1386,622,73,691,13389,13387
SH600007,20260109,0.48197879858657244,3.41,7.075,610,1248,610,26,612,18424,18422
SH600007,20260112,0.46980224478888294,4.395,9.355,763,1614,763,47,804,17161,17159
SH600007,20260113,0.46630360789652825,3.425,7.345,646,1379,646,45,688,18824,18822
SH600007,20260114,0.4750132908027645,8.935,18.81,1520,3194,1520,86,1588,24198,24196
SH600007,20260115,0.4645729605515128,6.065,13.055,1005,2164,1005,83,1076,18275,18273
SH600007,20260116,0.45795481015606804,9.83,21.465,1391,3066,1391,146,1529,19665,19663
SH600007,20260119,0.45219192267863306,6.55,14.485,1112,2452,1112,129,1211,19944,19942
SH600007,20260120,0.4571667363142499,5.47,11.965,960,2104,960,93,1051,22360,22358
SH600007,20260121,0.4673509499890806,10.7,22.895,1577,3398,1577,125,1696,18939,18937
SH600007,20260122,0.4605,4.605,10.0,742,1610,742,58,810,14518,14516
SH600007,20260123,0.47327044025157233,6.02,12.72,1007,2125,1007,62,1056,25182,25180
SH600007,20260126,0.4696500833134968,9.865,21.005,1522,3256,1522,117,1617,25695,25693
SH600007,20260127,0.4664420106711598,8.305,17.805,1345,2897,1345,109,1443,24239,24237
SH600007,20260128,0.47752808988764045,5.525,11.57,915,1917,915,47,955,26010,26008
SH600007,20260129,0.47330316742081446,10.46,22.1,1787,3746,1787,93,1866,34717,34715
SH600007,20260130,0.4716950527169505,14.54,30.825,2039,4304,2039,156,2109,31225,31223
SH600006,20260105,0.4826388888888889,0.695,1.44,139,288,139,5,144,27890,27888
SH600006,20260106,0.4946524064171123,0.925,1.87,185,374,185,2,187,46694,46692
SH600006,20260107,0.466824644549763,0.985,2.11,197,421,197,14,210,34398,34396
SH600006,20260108,0.4921875,0.945,1.92,189,384,189,3,192,28142,28140
SH600006,20260109,0.4857142857142857,0.85,1.75,170,350,170,5,175,33244,33242
SH600006,20260112,0.4983974358974359,1.555,3.12,310,622,310,1,311,52165,52163
SH600006,20260113,0.49767441860465117,5.35,10.75,1048,2088,1048,5,1035,87518,87516
SH600006,20260114,0.49479843953185954,3.805,7.69,746,1498,746,8,744,69388,69386
SH600006,20260115,0.4909819639278557,2.45,4.99,485,982,485,9,488,38592,38590
SH600006,20260116,0.4885057471264368,1.7,3.48,336,684,336,8,340,41921,41919
SH600006,20260119,0.4823008849557522,1.09,2.26,217,450,217,8,225,30383,30381
SH600006,20260120,0.4810606060606061,1.27,2.64,254,528,254,10,264,29189,29187
SH600006,20260121,0.46904761904761905,0.985,2.1,197,420,197,13,210,29970,29968
SH600006,20260122,0.49157303370786515,0.875,1.78,175,356,175,3,178,29801,29799
SH600006,20260123,0.49722222222222223,2.685,5.4,529,1050,529,3,518,70023,70021
SH600006,20260126,0.4911894273127753,2.23,4.54,446,906,446,8,452,50688,50686
SH600006,20260127,0.4880239520958084,1.63,3.34,324,662,324,8,330,46608,46606
SH600006,20260128,0.4918918918918919,0.91,1.85,181,365,181,3,181,35404,35402
SH600006,20260129,0.4858156028368794,1.37,2.82,274,563,274,8,281,34174,34172
SH600006,20260130,0.4896907216494845,1.425,2.91,281,571,281,6,284,30798,30796
SH600008,20260105,0.484375,0.155,0.32,31,64,31,1,32,40994,40992
SH600008,20260106,0.49193548387096775,0.305,0.62,61,124,61,1,62,39786,39784
SH600008,20260107,0.4934210526315789,0.375,0.76,75,152,75,1,76,38519,38517
SH600008,20260108,0.5,0.05,0.1,10,20,10,0,10,34466,34464
SH600008,20260109,0.5,0.21,0.42,42,84,42,0,42,40126,40124
SH600008,20260112,0.5,0.015,0.03,3,6,3,0,3,42883,42881
SH600008,20260113,0.5,0.24,0.48,48,96,48,0,48,53610,53608
SH600008,20260114,0.5,0.545,1.09,109,218,109,0,109,67501,67499
SH600008,20260115,0.483695652173913,0.445,0.92,89,184,89,3,92,38052,38050
SH600008,20260116,0.4967105263157895,0.755,1.52,151,304,151,1,152,43031,43029
SH600008,20260119,0.4888888888888889,0.22,0.45,44,90,44,1,45,37335,37333
SH600008,20260120,0.48984771573604063,0.965,1.97,193,394,193,4,197,67235,67233
SH600008,20260121,0.4784688995215311,1.0,2.09,200,418,200,9,209,49098,49096
SH600008,20260122,0.4956521739130435,0.57,1.15,114,230,114,1,115,50499,50497
SH600008,20260123,0.47419354838709676,1.47,3.1,294,620,294,16,310,49488,49486
SH600008,20260126,0.5,0.1,0.2,20,40,20,0,20,68771,68769
SH600008,20260127,0.4947089947089947,0.935,1.89,187,378,187,2,189,50344,50342
SH600008,20260128,0.48261758691206547,2.36,4.89,472,978,472,17,489,68555,68553
SH600008,20260129,0.5,0.77,1.54,154,308,154,0,154,66796,66794
SH600008,20260130,0.4875,0.585,1.2,117,240,117,3,120,72977,72975
SH600004,20260105,0.48947368421052634,1.86,3.8,371,757,371,8,378,51248,51246
SH600004,20260106,0.49349240780911063,2.275,4.61,450,910,450,6,454,42613,42611
SH600004,20260107,0.48427672955974843,1.54,3.18,308,636,308,10,318,42547,42545
SH600004,20260108,0.49498327759197325,1.48,2.99,296,598,296,3,299,37793,37791
SH600004,20260109,0.4921259842519685,1.25,2.54,250,505,250,4,251,37485,37483
SH600004,20260112,0.4935897435897436,1.54,3.12,308,624,308,4,312,40475,40473
SH600004,20260113,0.4897959183673469,0.96,1.96,192,392,192,4,196,49668,49666
SH600004,20260114,0.48812095032397407,1.13,2.315,224,457,224,5,228,60125,60123
SH600004,20260115,0.4754601226993865,0.775,1.63,155,326,155,8,163,31844,31842
SH600004,20260116,0.47865853658536583,0.785,1.64,157,328,157,7,164,39493,39491
SH600004,20260119,0.4921052631578947,0.935,1.9,187,379,187,3,189,38685,38683
SH600004,20260120,0.4937694704049844,1.585,3.21,316,640,316,4,320,84422,84420
SH600004,20260121,0.48282442748091603,2.53,5.24,502,1035,502,18,515,44130,44128
SH600004,20260122,0.4783132530120482,1.985,4.15,392,815,392,18,405,33770,33768
SH600004,20260123,0.48523622047244097,2.465,5.08,490,1007,490,15,502,49858,49856
SH600004,20260126,0.49089529590288317,3.235,6.59,642,1304,642,12,650,52435,52433
SH600004,20260127,0.48532494758909855,2.315,4.77,460,943,460,14,469,37685,37683
SH600004,20260128,0.49150943396226415,2.605,5.3,513,1038,513,9,516,52544,52542
SH600004,20260129,0.49174917491749176,2.98,6.06,593,1206,593,10,603,51439,51437
SH600004,20260130,0.4894067796610169,2.31,4.72,459,935,459,10,466,45785,45783
SH600012,20260105,0.47561692126909516,8.095,17.02,1496,3124,1496,79,1549,32164,32162
SH600012,20260106,0.4819225861335602,5.665,11.755,1061,2198,1061,42,1095,26925,26923
SH600012,20260107,0.47312541473125413,3.565,7.535,678,1434,678,40,716,21155,21153
SH600012,20260108,0.47127937336814624,3.61,7.66,682,1440,682,42,716,21171,21169
SH600012,20260109,0.4787234042553192,4.275,8.93,813,1686,813,34,839,22304,22302
SH600012,20260112,0.47074327886136,4.465,9.485,822,1737,822,54,861,21436,21434
SH600012,20260113,0.4741131351869607,4.945,10.43,930,1951,930,50,971,28918,28916
SH600012,20260114,0.4735560194850383,6.805,14.37,1268,2667,1268,70,1329,29043,29041
SH600012,20260115,0.4809590973201692,3.41,7.09,653,1358,653,28,677,17245,17243
SH600012,20260116,0.4763729246487867,5.595,11.745,1075,2254,1075,55,1124,25298,25296
SH600012,20260119,0.46360582306830905,4.14,8.93,786,1692,786,64,842,19950,19948
SH600012,20260120,0.458602466236054,3.905,8.515,755,1644,755,66,823,25531,25529
SH600012,20260121,0.47396963123644253,4.37,9.22,845,1771,845,43,883,31287,31285
SH600012,20260122,0.4768258426966292,3.395,7.12,667,1397,667,32,698,20535,20533
SH600012,20260123,0.47506849315068495,4.335,9.125,841,1755,841,43,871,26133,26131
SH600012,20260126,0.47622128760918797,7.36,15.455,1378,2882,1378,74,1430,29090,29088
SH600012,20260127,0.4779525131051496,7.75,16.215,1396,2925,1396,69,1460,27079,27077
SH600012,20260128,0.4722470904207699,5.275,11.17,1002,2110,1002,61,1047,26350,26348
SH600012,20260129,0.4716666666666667,4.245,9.0,827,1746,827,50,869,25507,25505
SH600012,20260130,0.4730040206777714,8.235,17.41,1521,3185,1521,91,1573,40440,40438
SH600017,20260105,0.4793103448275862,0.695,1.45,139,290,139,6,145,18593,18591
SH600017,20260106,0.4797297297297297,0.355,0.74,71,148,71,3,74,20747,20745
SH600017,20260107,0.47058823529411764,0.24,0.51,48,102,48,3,51,16837,16835
SH600017,20260108,0.475,0.475,1.0,95,200,95,5,100,16879,16877
SH600017,20260109,0.5,0.15,0.3,30,60,30,0,30,19609,19607
SH600017,20260112,0.5,0.09,0.18,18,36,18,0,18,24701,24699
SH600017,20260113,0.487012987012987,0.375,0.77,75,154,75,2,77,25767,25765
SH600017,20260114,0.4885057471264368,0.425,0.87,85,174,85,2,87,32524,32522
