symbol,date,frequency,window_name,window_start,window_end,start_mid,end_mid,window_return,threshold_history_days,threshold_history_order_count,threshold_mean_qty,threshold_p80_qty,threshold_p90_qty,mean_x05_buy_exec_qty,mean_x05_sell_exec_qty,mean_x05_buy_order_count,mean_x05_sell_order_count,mean_x05_alf,mean_x10_buy_exec_qty,mean_x10_sell_exec_qty,mean_x10_buy_order_count,mean_x10_sell_order_count,mean_x10_alf,p80_buy_exec_qty,p80_sell_exec_qty,p80_buy_order_count,p80_sell_order_count,p80_alf,p90_buy_exec_qty,p90_sell_exec_qty,p90_buy_order_count,p90_sell_order_count,p90_alf,fixed_notional_buy_exec_qty,fixed_notional_sell_exec_qty,fixed_notional_buy_order_count,fixed_notional_sell_order_count,fixed_notional_alf,window_events,trade_events,order_add_events,cancel_events,active_order_count,split_active_order_count,trade_before_add_count,fully_immediate_order_count,full_link_trade_count,partial_link_trade_count,missing_aggressor_id_count,invalid_volume_count,valid_book_events,invalid_book_events,fixed_notional,is_valid,invalid_reason,factor_version
SH600266,20250801,daily,daily_0930_close,93000000,145700000,4.645,4.635,-0.002152852529601623,20,854155,3419.0218004928847,2300.0,5700.0,8536642.0,11105880.0,1032,1009,-0.13079980259154095,7256830.0,9970699.0,481,505,-0.15753094944724808,8007842.0,10546680.0,766,720,-0.13683122637166292,6452671.0,9142299.0,295,312,-0.1724676610471197,324400.0,1666100.0,1,5,-0.6740517457925145,43483,19917,16743,6823,11394,1803,167,11227,834,19083,0,0,43483,0,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
SH601398,20250801,daily,daily_0930_close,93000000,145700000,7.555,7.635,0.010589013898080646,20,4216030,5707.696554341406,4000.0,10000.0,258055966.0,205033968.0,11517,10743,0.11449611426881069,241753558.0,187380880.0,7446,6237,0.1267031335294512,251689796.0,196938118.0,9541,8254,0.12204251294091344,225642347.0,171775789.0,5225,4168,0.13554126779961548,91543929.0,62511572.0,307,240,0.18845388065694585,382513,159677,162860,59976,73557,14162,721,72836,5041,154636,0,0,382513,0,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
SH605116,20250801,daily,daily_0930_close,93000000,145700000,24.025,23.945,-0.003329864724245457,20,409250,740.1953280390959,700.0,1400.0,1859800.0,2074900.0,1607,1613,-0.054667446056878545,1393100.0,1703400.0,693,835,-0.1002099144195059,1560900.0,1774900.0,969,946,-0.06415252712992385,1140200.0,1364500.0,411,456,-0.08955164291132671,0.0,0.0,0,0,,34330,13320,14567,6443,8587,1867,868,7719,2144,11176,0,0,34330,0,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
SH688029,20250801,daily,daily_0930_close,93000000,145700000,82.65,83.96,0.015849969751966064,20,515319,775.0644164100295,1319.0,1440.0,1364745.0,1522322.0,1205,1327,-0.05458030589522169,1092817.0,1212516.0,600,614,-0.051922650653940236,837641.0,964771.0,307,321,-0.07053326320508296,819875.0,934686.0,289,291,-0.06543574147607294,116945.0,206240.0,8,11,-0.27629685783684266,46375,10277,21115,14983,6592,1868,1265,5327,2066,8211,0,0,46375,0,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
SH688167,20250801,daily,daily_0930_close,93000000,145700000,84.655,83.39,-0.014943003957238243,20,231042,745.2916699128297,800.0,1400.0,1050220.0,1397709.0,935,1246,-0.1419522379938307,854927.0,1163970.0,497,728,-0.1530751692632165,851902.0,1149496.0,492,707,-0.14869306354857953,653702.0,888620.0,261,405,-0.1523144972320955,108100.0,16592.0,5,1,0.7338722612517242,18748,6088,8165,4495,4138,1068,967,3171,1423,4665,0,0,18748,0,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
SH688502,20250801,daily,daily_0930_close,93000000,145700000,329.495,326.45,-0.009241414892487088,20,215137,397.1513919037636,400.0,700.0,584513.0,674649.0,1970,2048,-0.07158411705562906,279709.0,349731.0,410,527,-0.11124491611591256,279310.0,349332.0,409,526,-0.11138613073895795,185906.0,226893.0,184,217,-0.09929045370749445,32364.0,44488.0,6,9,-0.15775776817779627,22146,6087,9976,6083,4095,1350,963,3132,1324,4763,0,0,22146,0,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
SZ000536,20250801,daily,daily_0930_close,93000000,145700000,4.405,4.445,0.009080590238365494,20,1120901,3501.682636557555,3300.0,7100.0,43211251.0,39566084.0,4274,3767,0.04403581004389668,39048451.0,35694484.0,2579,2121,0.044873364954159216,39541651.0,36059684.0,2727,2230,0.04605695124299062,33561251.0,31190584.0,1466,1208,0.036611580196916425,2750300.0,4797800.0,7,12,-0.2712603171659093,185981,63153,98613,24180,30743,6805,0,34,63153,0,0,0,177269,8712,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
SZ000652,20250801,daily,daily_0930_close,93000000,145700000,4.375,4.325,-0.011428571428571344,20,350711,4836.709632717537,5000.0,10000.0,4450865.0,9630394.0,366,589,-0.3678313849635178,4058422.0,9093693.0,246,428,-0.38284876614901864,4044822.0,9074093.0,243,424,-0.38336028551141615,3365622.0,7938316.0,137,255,-0.4045222116398728,306800.0,1115600.0,1,3,-0.5686164229471317,20468,6752,10650,3062,3849,664,0,4,6752,0,0,0,20058,410,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
SZ000710,20250801,daily,daily_0930_close,93000000,145700000,14.565,14.675,0.007552351527634782,20,1124746,1689.0209727351776,1600.0,3000.0,18499910.0,19950726.0,5116,5102,-0.03773191163860073,16016223.0,17649200.0,2865,3045,-0.04850605916937387,16209223.0,17816100.0,2994,3155,-0.047225914651860906,13669736.0,15187987.0,1699,1836,-0.05261160071430445,1935300.0,1150600.0,20,9,0.25428562169869406,143018,52275,74579,16035,26829,7535,0,115,52275,0,0,0,123187,19831,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
SZ300201,20250801,daily,daily_0930_close,93000000,145700000,5.385,5.405,0.003714020427112441,20,497619,4121.313113044317,4700.0,10000.0,5989233.0,7377286.0,633,646,-0.10384551131076086,5400295.0,6741286.0,424,437,-0.1104461601829284,5300095.0,6664286.0,401,418,-0.11402102624448353,4044695.0,5380824.0,197,216,-0.14175654412239794,0.0,402700.0,0,2,-1.0,28438,9459,14875,4058,4728,997,0,46,9459,0,0,0,27868,570,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
SZ300778,20250801,daily,daily_0930_close,93000000,145700000,15.29,15.165,-0.00817527795945061,20,955679,1638.1207152192317,1600.0,3100.0,2376168.0,3688720.0,874,1003,-0.21641817623012988,1925162.0,3333761.0,468,682,-0.26784932960608093,1967762.0,3361361.0,495,700,-0.2615062553444535,1465817.0,2748006.0,242,399,-0.30428164638144506,0.0,294200.0,0,3,-1.0,45621,14571,23604,7424,6990,1763,0,22,14571,0,0,0,43356,2265,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
SZ301552,20250801,daily,daily_0930_close,93000000,145700000,38.94,39.225,0.007318952234206533,20,138971,750.2842679407934,900.0,1500.0,433349.0,518351.0,385,407,-0.08931596091205211,347289.0,433600.0,203,222,-0.11052915331116202,328520.0,420000.0,176,202,-0.12221450328648534,246960.0,345740.0,82,113,-0.16666104268601317,0.0,0.0,0,0,,9686,2795,5161,1728,1983,357,0,2,2795,0,0,0,8982,704,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
SH600266,20250801,daily,daily_1000_close,100000000,145700000,4.655,4.635,-0.004296455424275036,20,854155,3419.0218004928847,2300.0,5700.0,5134686.0,7466842.0,700,748,-0.18506930270678287,4232786.0,6545639.0,310,335,-0.21458172228317218,4748286.0,6986042.0,507,499,-0.1907016746080389,3739149.0,6022239.0,196,211,-0.2338898935274369,0.0,1366100.0,0,4,-1.0,29378,14335,10506,4537,11394,1803,167,11227,556,13779,0,0,29378,0,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
SH601398,20250801,daily,daily_1000_close,100000000,145700000,7.485,7.635,0.02004008016032066,20,4216030,5707.696554341406,4000.0,10000.0,204511075.0,128098359.0,8966,7706,0.22973706753008094,192081567.0,115006171.0,5826,4367,0.2509881915245994,199318505.0,122119209.0,7352,5869,0.24016875630219298,179142256.0,103264759.0,4039,2820,0.26868134631853957,73017118.0,34866072.0,256,124,0.3536329061089128,283188,118781,117127,47280,73557,14162,721,72836,3954,114827,0,0,283188,0,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
SH605116,20250801,daily,daily_1000_close,100000000,145700000,24.43,23.945,-0.0198526401964797,20,409250,740.1953280390959,700.0,1400.0,1164400.0,1537500.0,1126,1182,-0.13808801213960548,785800.0,1255100.0,398,595,-0.22994757214954187,941000.0,1309700.0,654,677,-0.16381570178166793,635900.0,1013200.0,231,322,-0.22879146200958098,0.0,0.0,0,0,,23081,9492,9529,4060,8587,1867,868,7719,1524,7968,0,0,23081,0,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
SH688029,20250801,daily,daily_1000_close,100000000,145700000,84.815,83.96,-0.01008076401579916,20,515319,775.0644164100295,1319.0,1440.0,714211.0,1049320.0,708,918,-0.19002161005392024,555284.0,831241.0,346,404,-0.19902778529056453,394688.0,664906.0,159,212,-0.25502031910335465,387591.0,644957.0,150,192,-0.2492533034783855,89079.0,158266.0,6,8,-0.27971861165578443,31572,6339,14292,10941,6592,1868,1265,5327,1247,5092,0,0,31572,0,1000000.0,True,,stylized_fact_4_6_d04_d06_v1
