symbol,date,window_start,window_end,theta_5d_raw,total_trade_volume,matched_trade_volume,match_rate,large_gap_buy_volume,large_gap_sell_volume,large_gap_buy_ratio,large_gap_sell_ratio,valid_trade_count,matched_trade_count,large_gap_buy_trade_count,large_gap_sell_trade_count,passes_match_rate
SH600000,20260105,100000000,103000000,100.0,25599135,25541435,0.9977460175900474,71200,4850100,0.0027813439790055406,0.1894634330417805,17623,17568,38,2958,True
SH600000,20260106,100000000,103000000,100.0,8314039,8314039,1.0,114000,496800,0.013711747082254486,0.059754350442666915,7629,7629,63,252,True
SH600000,20260107,100000000,103000000,100.0,12493129,12261029,0.9814217879283885,38900,3400600,0.0031137115449620346,0.27219762158863486,7803,7697,31,1337,True
SH600000,20260108,100000000,103000000,100.0,14390947,14279247,0.9922381758476353,19100,1396000,0.0013272232883631634,0.09700542987198828,11754,11676,13,949,True
SH600000,20260109,100000000,103000000,100.0,5670908,5670908,1.0,12700,24000,0.0022395002705034184,0.004232126495439531,5568,5568,9,14,True
SH600000,20260112,100000000,103000000,100.0,8214777,8214777,1.0,316000,219900,0.03846726454047383,0.02676883377357657,5273,5273,84,125,True
SH600000,20260113,100000000,103000000,100.0,5973190,5973190,1.0,495632,97600,0.0829760981987849,0.01633967779360777,4787,4787,351,46,True
SH600000,20260114,100000000,103000000,100.0,8901690,8901690,1.0,338810,478200,0.03806131195312351,0.0537201362887272,7592,7592,269,226,True
SH600000,20260115,100000000,103000000,100.0,11932176,11807976,0.9895911692888204,2000,1495600,0.000167614021114003,0.12534176498905145,7695,7583,2,1113,True
SH600000,20260116,100000000,103000000,100.0,19700301,18859801,0.9573356772569109,49700,3047900,0.0025228040931963426,0.15471337214593828,12837,12392,32,1900,True
SH600000,20260119,100000000,103000000,100.0,18062309,17233009,0.9540867117266126,3066276,297430,0.1697610200334852,0.016466886930126153,9054,8747,1253,195,True
SH600000,20260120,100000000,103000000,100.0,10186488,10127788,0.9942374643743751,57100,1104100,0.0056054648078906096,0.10838868116273244,8114,8070,41,617,True
SH600000,20260121,100000000,103000000,100.0,7582593,7394893,0.9752459349987531,0,578500,0.0,0.07629316251050268,6266,6170,0,351,True
SH600000,20260122,100000000,103000000,100.0,33928616,33228616,0.9793684481559755,1951500,3538651,0.05751781917659123,0.10429694509201319,14762,14293,950,1735,True
SH600000,20260123,100000000,103000000,100.0,10322270,10322270,1.0,446268,230600,0.04323351355854865,0.022340047295798308,5905,5905,170,175,True
SH600000,20260126,100000000,103000000,100.0,20260714,20260714,1.0,524000,200800,0.025862859522127402,0.009910805710006073,13192,13192,339,50,True
SH600000,20260127,100000000,103000000,100.0,9718150,9718150,1.0,49900,1013000,0.00513472214361787,0.10423794652274353,8414,8414,27,877,True
SH600000,20260128,100000000,103000000,100.0,15415787,15200187,0.986014337120771,1443612,648200,0.09364504063269685,0.04204780463040907,10860,10768,943,464,True
SH600000,20260129,100000000,103000000,100.0,19596384,19596384,1.0,761011,441233,0.03883425636076533,0.022516041735046628,10574,10574,204,130,True
SH600000,20260130,100000000,103000000,100.0,16794400,16794400,1.0,37000,1582000,0.002203115324155671,0.09419806602200734,8408,8408,39,510,True
